id,title,author,publisher,count,total_views,amazon_url
e19e20a4f53b,ユダヤの商法②,藤田田,ベストセラーズ,3,1223090,https://www.amazon.co.jp/s?k=%E3%83%A6%E3%83%80%E3%83%A4%E3%81%AE%E5%95%86%E6%B3%95%E2%91%A1&i=stripbooks&tag=business-book-ranking02-22
3051a89a04ef,ずるい考え方　カタい頭がやわらかくなる発想トレーニング,木村尚義／あさ出版,あさ出版,3,2256294,https://www.amazon.co.jp/s?k=%E3%81%9A%E3%82%8B%E3%81%84%E8%80%83%E3%81%88%E6%96%B9%E3%80%80%E3%82%AB%E3%82%BF%E3%81%84%E9%A0%AD%E3%81%8C%E3%82%84%E3%82%8F%E3%82%89%E3%81%8B%E3%81%8F%E3%81%AA%E3%82%8B%E7%99%BA%E6%83%B3%E3%83%88%E3%83%AC%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0&i=stripbooks&tag=business-book-ranking02-22
480a3bd8b399,天才はディープ・プラクティスと1万時間の法則でつくられる,ダニエル・コイル,パンローリング株式会社,3,465758,https://www.amazon.co.jp/s?k=%E5%A4%A9%E6%89%8D%E3%81%AF%E3%83%87%E3%82%A3%E3%83%BC%E3%83%97%E3%83%BB%E3%83%97%E3%83%A9%E3%82%AF%E3%83%86%E3%82%A3%E3%82%B9%E3%81%A81%E4%B8%87%E6%99%82%E9%96%93%E3%81%AE%E6%B3%95%E5%89%87%E3%81%A7%E3%81%A4%E3%81%8F%E3%82%89%E3%82%8C%E3%82%8B&i=stripbooks&tag=business-book-ranking02-22
507ff28d8484,なぜかうまくいく人のすごい無意識　すべて思い通りになる,,,3,7945,https://www.amazon.co.jp/s?k=%E3%81%AA%E3%81%9C%E3%81%8B%E3%81%86%E3%81%BE%E3%81%8F%E3%81%84%E3%81%8F%E4%BA%BA%E3%81%AE%E3%81%99%E3%81%94%E3%81%84%E7%84%A1%E6%84%8F%E8%AD%98%E3%80%80%E3%81%99%E3%81%B9%E3%81%A6%E6%80%9D%E3%81%84%E9%80%9A%E3%82%8A%E3%81%AB%E3%81%AA%E3%82%8B&i=stripbooks&tag=business-book-ranking02-22
f8e63d7b8715,バビロン大富豪の教え（漫画版）,,,3,7632,https://www.amazon.co.jp/s?k=%E3%83%90%E3%83%93%E3%83%AD%E3%83%B3%E5%A4%A7%E5%AF%8C%E8%B1%AA%E3%81%AE%E6%95%99%E3%81%88%EF%BC%88%E6%BC%AB%E7%94%BB%E7%89%88%EF%BC%89&i=stripbooks&tag=business-book-ranking02-22
8846baaad5b6,ホントに、この人と結婚していいの？,,,3,18240,https://www.amazon.co.jp/s?k=%E3%83%9B%E3%83%B3%E3%83%88%E3%81%AB%E3%80%81%E3%81%93%E3%81%AE%E4%BA%BA%E3%81%A8%E7%B5%90%E5%A9%9A%E3%81%97%E3%81%A6%E3%81%84%E3%81%84%E3%81%AE%EF%BC%9F&i=stripbooks&tag=business-book-ranking02-22
3177c7abbd1a,お金は君を見ている（キムスンホ）,,,3,64432,https://www.amazon.co.jp/s?k=%E3%81%8A%E9%87%91%E3%81%AF%E5%90%9B%E3%82%92%E8%A6%8B%E3%81%A6%E3%81%84%E3%82%8B%EF%BC%88%E3%82%AD%E3%83%A0%E3%82%B9%E3%83%B3%E3%83%9B%EF%BC%89&i=stripbooks&tag=business-book-ranking02-22
d4c30875e716,１年で億り人になる（戸塚真由子）,戸塚真由子,サンマーク出版,3,567524,https://www.amazon.co.jp/s?k=%EF%BC%91%E5%B9%B4%E3%81%A7%E5%84%84%E3%82%8A%E4%BA%BA%E3%81%AB%E3%81%AA%E3%82%8B%EF%BC%88%E6%88%B8%E5%A1%9A%E7%9C%9F%E7%94%B1%E5%AD%90%EF%BC%89&i=stripbooks&tag=business-book-ranking02-22
b2a5909c0347,オルターエゴ　超自己成長術,,,3,7657,https://www.amazon.co.jp/s?k=%E3%82%AA%E3%83%AB%E3%82%BF%E3%83%BC%E3%82%A8%E3%82%B4%E3%80%80%E8%B6%85%E8%87%AA%E5%B7%B1%E6%88%90%E9%95%B7%E8%A1%93&i=stripbooks&tag=business-book-ranking02-22
08c503203ef0,あなたの夢を現実化させる成功の9ステップ,,,3,36474,https://www.amazon.co.jp/s?k=%E3%81%82%E3%81%AA%E3%81%9F%E3%81%AE%E5%A4%A2%E3%82%92%E7%8F%BE%E5%AE%9F%E5%8C%96%E3%81%95%E3%81%9B%E3%82%8B%E6%88%90%E5%8A%9F%E3%81%AE9%E3%82%B9%E3%83%86%E3%83%83%E3%83%97&i=stripbooks&tag=business-book-ranking02-22
609dd336716e,HEROの法則,,,3,8418,https://www.amazon.co.jp/s?k=HERO%E3%81%AE%E6%B3%95%E5%89%87&i=stripbooks&tag=business-book-ranking02-22
85fd1ccb8706,好きなことだけで生きていく。　堀江貴文,,,3,7104,https://www.amazon.co.jp/s?k=%E5%A5%BD%E3%81%8D%E3%81%AA%E3%81%93%E3%81%A8%E3%81%A0%E3%81%91%E3%81%A7%E7%94%9F%E3%81%8D%E3%81%A6%E3%81%84%E3%81%8F%E3%80%82%E3%80%80%E5%A0%80%E6%B1%9F%E8%B2%B4%E6%96%87&i=stripbooks&tag=business-book-ranking02-22
a21283d43c88,自分で「始めた」女たち 「好き」を仕事にするための最良のアドバイス&インスピレーション,,,3,5081,https://www.amazon.co.jp/s?k=%E8%87%AA%E5%88%86%E3%81%A7%E3%80%8C%E5%A7%8B%E3%82%81%E3%81%9F%E3%80%8D%E5%A5%B3%E3%81%9F%E3%81%A1%20%E3%80%8C%E5%A5%BD%E3%81%8D%E3%80%8D%E3%82%92%E4%BB%95%E4%BA%8B%E3%81%AB%E3%81%99%E3%82%8B%E3%81%9F%E3%82%81%E3%81%AE%E6%9C%80%E8%89%AF%E3%81%AE%E3%82%A2%E3%83%89%E3%83%90%E3%82%A4%E3%82%B9%26%E3%82%A4%E3%83%B3%E3%82%B9%E3%83%94%E3%83%AC%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3&i=stripbooks&tag=business-book-ranking02-22
a52fd848aed0,The long game（ロングゲーム）,,,3,6893,https://www.amazon.co.jp/s?k=The%20long%20game%EF%BC%88%E3%83%AD%E3%83%B3%E3%82%B0%E3%82%B2%E3%83%BC%E3%83%A0%EF%BC%89&i=stripbooks&tag=business-book-ranking02-22
4292f3986340,小さなチーム、大きな仕事　完全版,,,3,3730,https://www.amazon.co.jp/s?k=%E5%B0%8F%E3%81%95%E3%81%AA%E3%83%81%E3%83%BC%E3%83%A0%E3%80%81%E5%A4%A7%E3%81%8D%E3%81%AA%E4%BB%95%E4%BA%8B%E3%80%80%E5%AE%8C%E5%85%A8%E7%89%88&i=stripbooks&tag=business-book-ranking02-22
b4ec51cfecd5,脳科学マーケティング100の技術,,,3,35521,https://www.amazon.co.jp/s?k=%E8%84%B3%E7%A7%91%E5%AD%A6%E3%83%9E%E3%83%BC%E3%82%B1%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0100%E3%81%AE%E6%8A%80%E8%A1%93&i=stripbooks&tag=business-book-ranking02-22
4e8cbbee4c57,儲けのアイデア発想術,,,3,11579,https://www.amazon.co.jp/s?k=%E5%84%B2%E3%81%91%E3%81%AE%E3%82%A2%E3%82%A4%E3%83%87%E3%82%A2%E7%99%BA%E6%83%B3%E8%A1%93&i=stripbooks&tag=business-book-ranking02-22
3de8fd4e6d82,GACKTの超思考術,,,3,8154,https://www.amazon.co.jp/s?k=GACKT%E3%81%AE%E8%B6%85%E6%80%9D%E8%80%83%E8%A1%93&i=stripbooks&tag=business-book-ranking02-22
b3bd729cfa71,夢を叶えるゾウ1,,,3,13468,https://www.amazon.co.jp/s?k=%E5%A4%A2%E3%82%92%E5%8F%B6%E3%81%88%E3%82%8B%E3%82%BE%E3%82%A61&i=stripbooks&tag=business-book-ranking02-22
958be581f8b9,道は開ける（文庫版),,,3,5343,https://www.amazon.co.jp/s?k=%E9%81%93%E3%81%AF%E9%96%8B%E3%81%91%E3%82%8B%EF%BC%88%E6%96%87%E5%BA%AB%E7%89%88%29&i=stripbooks&tag=business-book-ranking02-22
a71bfb54469f,メンタリストDaiGoの幸せをつかむ言葉,,,3,3245,https://www.amazon.co.jp/s?k=%E3%83%A1%E3%83%B3%E3%82%BF%E3%83%AA%E3%82%B9%E3%83%88DaiGo%E3%81%AE%E5%B9%B8%E3%81%9B%E3%82%92%E3%81%A4%E3%81%8B%E3%82%80%E8%A8%80%E8%91%89&i=stripbooks&tag=business-book-ranking02-22
60ff887df863,FULL POWER（フルパワー）,,,3,11738,https://www.amazon.co.jp/s?k=FULL%20POWER%EF%BC%88%E3%83%95%E3%83%AB%E3%83%91%E3%83%AF%E3%83%BC%EF%BC%89&i=stripbooks&tag=business-book-ranking02-22
